epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,54815.9,0.81753,0.81671,0.00812,0.86428,0.8131,0.88362,0.70618,0.83786,0.64457,0.01629,0.000321981,0.000321981,0.000321981
165,55148.5,0.813,0.80141,0.00824,0.86848,0.8324,0.88649,0.70919,0.84043,0.65409,0.01661,0.000313729,0.000313729,0.000313729
166,55480,0.80767,0.79143,0.00814,0.86476,0.82771,0.88875,0.71386,0.82631,0.63982,0.01631,0.000305478,0.000305478,0.000305478
167,55813.8,0.82255,0.79464,0.00815,0.86588,0.82615,0.89235,0.71103,0.83791,0.64301,0.01664,0.000297226,0.000297226,0.000297226
168,56142.1,0.81332,0.78674,0.00814,0.88408,0.8112,0.88667,0.7093,0.83607,0.65107,0.01657,0.000288974,0.000288974,0.000288974
169,56475.7,0.80283,0.78125,0.0079,0.90157,0.80727,0.89263,0.7107,0.83489,0.6539,0.01634,0.000280723,0.000280723,0.000280723
170,56803.6,0.80319,0.7903,0.00822,0.89889,0.81615,0.88488,0.70451,0.84314,0.63748,0.01684,0.000272471,0.000272471,0.000272471
171,57136.5,0.79415,0.78066,0.00793,0.86861,0.82425,0.89012,0.70901,0.82967,0.65155,0.01627,0.00026422,0.00026422,0.00026422
172,57463.1,0.80136,0.76864,0.00811,0.87413,0.83689,0.89608,0.71144,0.83795,0.59961,0.01637,0.000255968,0.000255968,0.000255968
173,57796.3,0.78772,0.7805,0.00781,0.88233,0.82849,0.89611,0.7125,0.83568,0.61788,0.01645,0.000247716,0.000247716,0.000247716
174,58129.8,0.79474,0.75548,0.008,0.8861,0.83715,0.90103,0.71968,0.84031,0.59634,0.01668,0.000239465,0.000239465,0.000239465
175,58462,0.80862,0.76452,0.00809,0.90768,0.81881,0.89827,0.71396,0.84525,0.62056,0.01669,0.000231213,0.000231213,0.000231213
176,58796.2,0.79054,0.76975,0.00784,0.85336,0.84325,0.89836,0.71474,0.8437,0.60468,0.01645,0.000222961,0.000222961,0.000222961
